1	2	23
1	6	1
1	7	10
1	203	2
2	3	1
2	302	1
3	5	1
5	8	1
5	12	1
5	191	1
5	255	1
5	262	1
5	263	1
6	302	2
7	302	2
8	9	1
8	10	1
8	11	1
8	15	1
9	12	2
9	16	1
9	191	1
9	351	1
9	355	1
9	406	1
10	12	1
11	12	1
12	15	1
12	17	1
12	18	1
12	19	1
12	20	1
12	21	1
12	22	1
15	160	2
15	161	1
15	162	1
15	231	1
15	239	1
16	17	1
16	18	1
16	19	1
16	20	1
16	21	1
16	22	1
19	56	1
19	63	1
20	200	1
20	402	1
21	56	1
21	63	1
21	151	1
21	191	1
22	160	2
22	161	1
22	162	1
23	24	1
23	25	1
23	26	1
23	27	1
23	28	1
23	29	1
23	30	1
24	31	1
24	321	1
24	326	1
25	31	1
25	279	2
25	291	1
25	292	1
26	31	1
26	33	1
26	37	1
26	191	1
26	205	1
26	210	1
26	264	1
26	279	4
26	291	2
26	292	2
26	303	1
26	306	1
26	307	1
26	308	2
26	310	1
26	311	1
26	313	1
26	314	1
26	321	1
26	326	1
26	351	1
26	355	1
26	406	1
27	31	1
28	31	1
29	31	1
29	87	1
29	99	1
30	31	1
30	33	1
30	37	1
33	34	1
33	35	1
33	36	1
34	37	1
34	105	1
35	37	1
36	37	1
38	39	1
38	40	1
38	41	1
39	113	1
39	122	1
39	123	1
39	132	1
39	154	1
39	168	1
39	171	1
39	184	1
39	200	1
39	227	1
39	370	1
39	379	2
39	393	1
40	132	1
41	194	1
41	205	1
41	210	1
41	255	1
41	262	1
41	263	1
41	321	1
41	326	1
41	406	1
44	45	1
44	50	1
44	51	1
44	52	1
45	108	1
45	112	1
45	132	2
45	200	2
45	278	1
45	320	1
45	342	1
50	123	1
50	132	2
50	168	1
50	171	1
50	184	1
50	194	1
50	231	1
50	239	1
50	342	2
50	356	1
50	379	1
51	231	1
51	239	1
52	231	1
52	239	1
52	342	1
56	57	1
56	58	1
56	59	1
56	60	1
56	61	1
56	62	1
57	63	1
58	63	1
59	63	1
60	63	1
61	63	1
61	105	1
62	63	1
65	66	1
65	67	1
65	68	1
65	69	1
65	70	1
65	71	1
65	72	1
65	73	1
65	74	1
65	75	1
65	76	1
65	77	1
65	78	1
65	79	1
65	80	1
65	81	1
65	82	1
65	83	1
65	84	1
66	85	2
66	86	1
66	200	2
66	240	1
66	320	2
66	371	1
67	85	2
67	86	1
68	85	2
68	86	1
68	269	1
69	85	2
69	86	1
70	85	2
70	86	1
71	85	2
71	86	1
71	240	1
72	85	2
72	86	1
73	85	2
73	86	1
74	85	2
74	86	1
75	85	2
75	86	1
75	113	1
75	122	1
75	200	2
75	211	1
75	227	2
75	320	1
75	379	1
76	85	2
76	86	1
77	85	2
77	86	1
78	85	2
78	86	1
79	85	2
79	86	1
80	85	2
80	86	1
81	85	2
81	86	1
82	85	2
82	86	1
83	85	2
83	86	1
84	85	2
84	86	1
87	88	1
87	89	1
87	90	1
87	91	1
87	92	1
87	93	1
87	94	1
87	95	1
87	96	1
87	97	1
87	98	1
88	99	1
89	99	1
89	105	1
89	123	1
89	168	1
89	171	1
89	184	1
89	279	2
89	291	1
89	292	1
89	413	1
90	99	1
91	99	1
91	211	1
91	361	1
91	393	1
91	416	1
92	99	1
93	99	1
94	99	1
95	99	1
96	99	1
97	99	1
97	379	1
98	99	1
98	132	1
105	107	1
107	379	1
108	109	1
108	110	1
108	111	1
109	112	1
109	255	2
109	262	2
109	263	2
110	112	1
111	112	1
111	264	1
113	114	1
113	115	1
113	116	1
113	117	1
113	118	1
113	119	1
113	120	1
113	121	1
114	122	1
114	123	1
114	163	1
114	168	1
114	211	1
115	122	1
116	122	1
116	200	1
116	205	1
116	210	1
116	320	1
117	122	1
118	122	1
119	122	1
120	122	1
121	122	1
123	124	1
123	155	1
123	172	1
123	173	1
123	174	1
123	175	1
123	176	1
123	177	1
123	178	1
123	179	1
123	180	1
123	181	1
123	182	1
123	183	1
124	160	2
124	161	1
124	162	1
126	127	3
126	129	1
126	130	1
128	129	1
128	130	1
129	131	1
129	240	1
130	131	1
139	140	2
139	147	1
140	141	1
140	142	1
140	143	3
140	144	1
140	145	1
140	146	1
140	149	2
140	150	2
141	147	2
141	148	1
141	194	1
142	147	2
142	148	1
143	147	3
143	148	1
144	147	2
144	148	1
145	147	2
145	148	1
146	147	2
146	148	1
147	149	1
147	150	1
154	155	1
154	157	1
155	168	1
155	171	1
155	184	1
157	371	1
160	186	1
160	187	1
160	188	1
160	189	1
168	172	1
168	173	1
168	174	1
168	175	1
168	176	1
168	177	1
168	178	1
168	179	1
168	180	1
168	181	1
168	182	1
168	183	1
171	172	1
171	173	1
171	174	1
171	175	1
171	176	1
171	177	1
171	178	1
171	179	1
171	180	1
171	181	1
171	182	1
171	183	1
172	184	1
173	184	1
174	184	1
175	184	1
176	184	1
177	184	1
178	184	1
178	200	1
178	342	2
179	184	1
180	184	1
181	184	1
182	184	1
183	184	1
183	371	1
185	186	1
185	187	1
185	188	1
185	189	1
186	190	1
187	190	1
188	190	1
189	190	1
191	192	1
192	240	1
194	199	1
200	201	1
200	203	1
200	212	3
200	217	1
200	229	4
200	247	3
200	272	1
200	273	3
200	274	1
200	275	1
200	276	1
200	277	1
200	315	2
200	316	3
200	317	1
200	318	1
200	319	2
200	396	1
200	397	1
200	398	1
200	399	1
200	400	1
200	401	1
203	253	1
205	206	1
205	207	1
205	208	1
205	209	1
206	210	1
206	255	1
206	258	1
206	303	1
206	306	1
206	307	1
206	308	2
206	310	1
206	311	1
206	313	1
206	314	1
206	321	1
206	326	1
206	351	1
206	355	1
206	406	1
206	413	2
207	210	1
207	303	1
207	306	1
207	307	1
207	308	2
207	310	1
207	311	1
207	313	1
207	314	1
207	351	1
207	355	1
207	406	1
208	210	1
208	303	1
208	306	1
208	307	1
208	308	2
208	310	1
208	311	1
208	313	1
208	314	1
208	351	1
208	355	1
208	406	1
209	210	1
209	313	1
209	314	1
209	321	1
209	326	1
209	342	1
209	351	1
209	355	1
209	406	1
211	212	1
211	217	2
211	226	1
212	370	2
212	393	1
212	402	1
212	416	1
217	320	1
226	240	1
227	228	2
227	229	1
229	240	1
229	278	2
229	320	2
229	393	1
231	232	1
231	233	1
231	234	1
231	235	1
231	236	1
231	237	1
231	238	1
232	239	1
233	239	1
234	239	1
235	239	1
236	239	1
237	239	1
238	239	1
240	243	2
240	247	1
247	320	1
247	351	1
247	355	1
247	413	1
